t,X_mean,X_sd
0.575,0.63365805,0.032437764
0.629,0.70262027,0.030728808
0.547,0.60838294,0.03410518
0.982,1.0170165,0.029453652
0.635,0.60455877,0.031840045
0.09,0.22439261,0.017763982
0.956,0.95938087,0.03034253
0.139,0.228088,0.025298472
0.672,0.63528126,0.03745209
0.744,0.7524864,0.030567111
0.26,0.3095875,0.032498043
0.852,0.80050623,0.030333344
0.674,0.62051404,0.030082854
0.953,0.92856556,0.037447937
0.843,0.8399321,0.033323575
0.233,0.20070928,0.042988356
0.895999999999999,0.8686391,0.033268593
0.861,0.8651111,0.032836832
0.185,0.22412497,0.022650333
0.336,0.33951303,0.028945383
0.359,0.40100262,0.026610019
0.885999999999999,0.859551,0.03281884
0.971,1.035222,0.030626083
0.964,0.92291135,0.037268028
0.27,0.26867545,0.03702645
0.262,0.3227906,0.03951217
0.951,0.97819775,0.035710726
0.264,0.31446788,0.03519436
0.914,0.90567005,0.030516881
0.754,0.75671583,0.02938319
0.0409999999999999,0.057555094,0.030283015
0.068,0.2160919,0.018921154
0.46,0.45009276,0.032731142
0.564,0.5335762,0.03502931
0.976,0.95780957,0.027603248
0.135,0.16555624,0.023000963
0.839,0.7991168,0.03040462
0.946,0.94853127,0.032011405
0.807999999999999,0.8035503,0.03417878
0.974,0.9678899,0.029146243
0.952,0.9412469,0.030352602
0.196999999999999,0.25638318,0.018754372
0.588,0.56934124,0.03327662
0.07,0.08605348,0.025758825
0.989,0.93367136,0.029279133
0.961,0.95059097,0.029382272
0.49,0.5035444,0.032276
0.369,0.36703017,0.028733531
0.115,0.14534664,0.023714906
0.375,0.3894815,0.028662005
0.907,0.9147296,0.032963105
0.021,0.021241605,0.029885562
0.98,0.96425295,0.029211944
0.363,0.41650704,0.030453524
0.397,0.39476034,0.028206354
0.437,0.45844287,0.03213008
0.073,0.16923013,0.02227243
0.111999999999999,0.20044951,0.02236422
0.705,0.6417656,0.03474565
0.902,0.87196416,0.03344521
0.81,0.8002181,0.030585
0.975,1.0228966,0.031997662
0.086,0.1273023,0.024484053
0.967,0.9380387,0.033861227
0.859,0.8339643,0.03240104
0.612,0.5879967,0.030470723
0.882,0.89596915,0.034336455
0.5,0.4920873,0.032117438
0.128,0.16514157,0.0227545
0.107,0.055341497,0.026765298
0.34,0.3139824,0.024418412
0.802,0.7909388,0.032794483
0.104,0.16256258,0.021730881
0.02,-0.0037750162,0.028687943
0.869,0.82373416,0.03168734
0.365,0.40717685,0.03117209
0.85,0.82224053,0.031227984
