names,cell_cycle_phase,cell_cycle_hrs
J2_356,G1,0.068
J3_356,S-ph,0.584
J4_356,G2M,0.930999999999999
J5_356,G1,0.116999999999999
J6_356,G2M,0.849
J7_356,S-ph,0.655
J8_356,S-ph,0.569
J9_356,G1,
K10_356,S-ph,0.516
K11_356,G2M,0.724
K12_356,G2M,0.794
K13_356,G2M,0.779
K14_356,S-ph,0.472
K15_356,S-ph,0.517
K16_356,S-ph,0.387
K17_356,G2M,0.765999999999999
K18_356,G2M,0.819
K19_356,S-ph,0.447999999999999
K1_356,G1,0.122
K20_356,S-ph,0.427
K22_356,G1,0.307
K23_356,G1,
K24_356,G2M,0.829
K2_356,G1,
K3_356,S-ph,0.685
K4_356,G2M,0.929
K7_356,S-ph,0.368
K8_356,G2M,0.828
K9_356,G2M,0.889
L10_356,S-ph,0.657
L11_356,S-ph,0.535
L12_356,G1,0.179
L14_356,G2M,0.785999999999999
L15_356,S-ph,0.467
L16_356,G1,0.156
L17_356,G2M,0.711
L19_356,G2M,0.682
L1_356,S-ph,0.514
L20_356,S-ph,0.493
L21_356,G2M,0.698
L22_356,S-ph,0.42
L23_356,G2M,0.755
L24_356,S-ph,
L2_356,G1,0.2
L3_356,S-ph,0.45
L4_356,G2M,0.782999999999999
L6_356,G2M,0.738
L7_356,G2M,0.722
L8_356,G1,0.267
L9_356,G1,0.214
M10_356,G2M,0.696
M11_356,G1,0.223999999999999
M12_356,S-ph,0.645
M13_356,S-ph,0.566
M14_356,S-ph,0.615
M15_356,G2M,0.704
M16_356,G2M,0.799
M17_356,G1,0.115999999999999
M18_356,S-ph,0.557
M19_356,S-ph,0.508
M1_356,S-ph,0.424
M20_356,G1,
M21_356,S-ph,0.603
M22_356,S-ph,0.479
M23_356,G2M,0.735
M24_356,S-ph,0.397999999999999
M2_356,G2M,0.706
M3_356,G2M,0.769
M4_356,G1,0.099
M5_356,G1,
M6_356,S-ph,0.654
M7_356,S-ph,0.582
M8_356,G2M,0.773
M9_356,G1,
N10_356,G1,0.342999999999999
N11_356,G1,0.192
N12_356,G1,0.282
N13_356,G1,0.19
N14_356,G1,0.298
N15_356,G1,0.217
N16_356,G1,0.353
N17_356,G1,0.126
N18_356,G1,0.248
N19_356,G1,
N1_356,G1,0.094
N20_356,G1,0.273999999999999
N21_356,G1,0.06
N22_356,G1,0.089
N23_356,G1,0.358
N24_356,G1,0.198
N2_356,G1,0.349
N3_356,G1,0.246
N4_356,G1,0.159
N5_356,G1,
N6_356,G1,
N7_356,G1,0.100999999999999
N8_356,G1,0.287
N9_356,G1,0.293
O10_356,S-ph,0.521
O11_356,S-ph,0.642
O12_356,S-ph,0.611
O13_356,S-ph,0.428
O14_356,S-ph,0.463999999999999
O15_356,S-ph,0.402
O16_356,S-ph,0.499
O17_356,S-ph,0.492
O18_356,S-ph,0.447
O19_356,S-ph,0.547
O1_356,S-ph,
O20_356,S-ph,0.599
O21_356,S-ph,0.563
O22_356,S-ph,0.41
O23_356,S-ph,0.433
O24_356,S-ph,0.47
O2_356,S-ph,0.457
O3_356,S-ph,0.385
O4_356,S-ph,0.505
O5_356,S-ph,0.471
O6_356,S-ph,0.48
O7_356,S-ph,0.417
O8_356,S-ph,0.515
O9_356,S-ph,0.636
P10_356,G2M,0.61
P11_356,G2M,0.58
P12_356,G2M,0.551
P13_356,G2M,0.65
P14_356,G2M,0.562
P15_356,G2M,0.572
P16_356,G2M,0.631
P17_356,G2M,0.638
P18_356,G2M,0.602
P19_356,G2M,0.596
P1_356,G2M,0.645999999999999
P20_356,G2M,0.557999999999999
P21_356,G2M,0.64
P22_356,G2M,0.558999999999999
P2_356,G2M,0.648
P3_356,G2M,0.627
P4_356,G2M,0.643
P5_356,G2M,0.63
P6_356,G2M,0.534
P7_356,G2M,0.575
P8_356,G2M,0.629
P9_356,G2M,0.547
A10_357,G2M,0.982
A11_357,S-ph,0.635
A12_357,G1,0.09
A13_357,G2M,0.956
A14_357,G1,0.139
A15_357,S-ph,0.672
A16_357,G1,
A17_357,G2M,0.744
A18_357,S-ph,0.26
A19_357,G2M,0.852
A1_357,S-ph,0.674
A20_357,G2M,0.953
A21_357,G2M,0.843
A22_357,S-ph,0.233
A23_357,G2M,0.895999999999999
A24_357,G1,
A2_357,G2M,0.861
A3_357,G1,0.185
A4_357,S-ph,0.336
