"","CCNA2","CCNB1","BIRC5","TOP2A","PLK1","NDC80","CDCA8","MKI67","CDC6","CENPF","KRT17","RRM2","t","p"
"186",3.7476244,5.32436,4.719226,4.622287,2.6517727,4.297086,3.8528469,4.719226,4.5845685,4.7522693,2.1437001,4.976936,0.458999999999999,"S-ph"
"187",4.7268696,4.0329537,4.559676,5.1641555,2.850831,5.002645,3.888133,5.07992,4.570986,4.070751,2.4738545,5.09335,0.418,"S-ph"
"188",4.8901076,5.272442,4.7598267,5.499759,4.141918,5.02556,4.3323135,4.9777646,3.7988749,5.399451,3.6255388,5.4956007,0.741,"G2M"
"189",5.4002934,5.6993823,4.9586353,5.587451,5.0280313,5.1099124,4.862721,5.3747683,3.3957837,5.473178,3.1495779,5.294034,0.894,"G2M"
"190",5.347766,6.2019973,5.3985605,5.987638,5.4278436,5.3425417,4.8606715,5.627715,3.0821087,5.5019813,0.7395368,4.9879146,0.797999999999999,"G2M"
"192",4.901824,5.4470897,4.7743645,5.679126,4.165933,4.922723,4.073639,5.051888,4.136105,4.8659925,4.024088,5.20339,0.835,"G2M"
"195",5.139263,5.993098,4.905974,5.8931046,5.154558,5.3282914,4.639985,5.6615496,3.7627995,5.091921,2.649468,4.180796,0.715,"G2M"
"198",4.853992,4.7415986,4.5206337,5.3419495,4.2031693,4.711409,4.168612,4.95502,4.70114,4.8450937,2.6833527,5.3143816,0.494,"S-ph"
"201",5.1008406,6.01999,5.117003,5.8955836,5.0592537,5.4250226,4.787712,5.68773,3.1089723,5.4011765,3.8096228,4.7765074,0.78,"G2M"
"203",4.5837436,5.373055,4.597784,1.3265452,4.638761,4.190383,2.4908898,5.292864,2.2304454,4.569503,1.6393859,4.8327847,0.154,"G1"
"204",3.4655166,4.0887504,4.0887504,3.316562,2.1688533,3.1414695,3.1414695,3.39381,4.622295,3.4655166,3.7626388,4.9210587,0.345,"S-ph"
"206",3.3726463,5.5532413,4.962859,3.2849357,4.5305724,4.1499677,1.7743797,4.891918,2.8281431,4.2766805,2.5833602,4.0903277,0.13,"G1"
"207",5.0077834,5.6766,4.9480934,5.8896785,4.65397,5.299992,4.40032,5.312277,2.4967499,5.202707,3.5022721,5.0949273,0.725,"G2M"
"208",3.5725505,5.5549693,4.471847,2.8498845,3.1950264,1.961104,3.3492815,3.543548,4.321532,3.4183161,3.1950264,4.094944,0.322999999999999,"G1"
"209",4.641944,5.0222864,4.5749598,5.5047684,3.6740105,4.755562,3.7215917,5.101335,3.5981045,5.0410905,4.5031643,5.6190557,0.670999999999999,"S-ph"
"210",4.2269144,4.9868183,4.8843756,5.5481434,4.198764,5.012452,4.240698,5.061829,3.3524508,4.8402677,3.7573416,4.753975,0.922999999999999,"G2M"
"211",5.227182,6.462203,5.4708576,5.3648467,5.4607477,5.5005865,4.895413,5.4139466,3.1141772,5.844235,0,4.532986,0.061,"G1"
"212",5.134343,4.8520265,4.5159607,5.194018,3.9901211,4.5804105,3.9406464,5.3905993,4.6493144,5.065405,0.6258633,5.730296,0.851,"G2M"
"213",5.612508,6.680447,5.6499844,5.970516,5.3920097,5.8328342,5.207133,6.1799507,3.2471256,6.286285,4.4717197,4.9401526,0.684,"S-ph"
"214",5.6181526,6.3039627,5.266163,5.940935,5.3413897,5.383951,4.844926,5.580834,3.3042283,5.825798,2.0870693,4.9359035,0.736,"G2M"
"215",4.6351566,5.4389772,4.790097,5.6855264,4.5559225,4.8158593,4.0790043,4.708571,3.2626452,4.7636538,0.9438703,4.650277,0.7,"G2M"
"216",4.916219,5.8976827,5.019176,5.041502,4.3764977,4.713467,3.9772975,5.0776386,3.8881085,5.3440166,4.559109,5.2288666,0.77,"G2M"
"217",4.7605786,5.867972,4.8136215,5.903338,4.348477,5.351818,4.412207,5.591964,4.0430117,5.114682,4.5422873,5.3873696,0.787,"G2M"
"218",4.9105086,6.001489,5.423227,5.9371157,4.988119,5.266587,5.0390716,5.100984,3.7262244,5.0739393,4.799675,5.849556,0.712,"G2M"
"219",1.7467198,5.3037314,4.243748,3.2975638,2.866486,0,2.9316785,4.136204,3.5978103,3.660636,1.2142831,3.340407,0.254,"G1"
"220",5.361987,6.1158204,4.8886104,6.0982122,4.739013,5.6360397,4.848102,5.2849064,3.5994365,5.6774707,4.0077925,4.7504735,0.778,"G2M"
"221",3.4935899,5.1969767,4.2502794,2.621878,1.998878,2.1334836,1.8432933,4.138055,3.9921842,2.696315,1.998878,4.049408,0.308,"G1"
"222",4.8678503,5.867955,4.8678503,6.094231,4.8086042,5.2659316,4.548685,5.5462584,3.3025641,5.596079,2.1377864,5.0865703,0.748,"G2M"
"224",5.2095594,6.707768,5.2724037,5.6918516,5.490447,4.8895497,4.9659534,5.6556087,0,6.0412593,3.2084568,4.4779034,0.037,"G1"
"225",5.2033076,6.568047,5.1779704,6.156877,5.489614,5.1387186,4.9153733,5.539996,4.2540717,5.570784,2.603668,4.627355,0.692,"G2M"
"227",3.9648783,4.4445524,5.3171363,4.7929077,2.651971,4.233205,3.0089421,5.1613145,4.188075,4.3177786,4.331204,5.088988,0.392,"S-ph"
"228",4.424496,4.8870387,4.6165357,5.111635,3.7197378,4.626196,4.1407995,5.1407886,4.285942,4.7609057,2.0633833,5.6093144,0.51,"S-ph"
"229",2.3227499,3.023243,2.8394563,1.4932154,0,1.4932154,1.7230964,1.1942023,5.122874,0,3.5029392,4.126723,0.295,"G1"
"230",4.958185,5.6714473,5.1783304,5.6557536,5.132685,5.2097034,4.8754144,4.840287,2.413781,5.469378,3.1618245,5.1655,0.82,"G2M"
"231",4.7886305,5.234972,5.191317,5.9223886,3.1743348,4.9711537,4.260964,5.4082284,4.516318,5.288438,5.3056426,5.928507,0.728,"G2M"
"232",5.041125,6.661691,5.3417172,4.644696,5.283822,5.0585055,4.8340783,5.6421833,4.059384,5.5895576,2.6780589,4.9429502,0.145,"G1"
